,AS,CS,CAS,AU
AS,0.0,0.0,0.0,0.0
CS,0.0,0.0,0.4609540948481926,0.8679374720657755
CAS,0.13206252793422468,0.5390459051518077,1.0000000000000004,1.0000000000000004
AU,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004
