design_index,badge,s_in,s_out,initial_share,endpoint_share,invasion_growth
0,G,AS,AS,0.006382978723404256,0.0,-18.2427192555134
1,G,AS,CS,0.006382978723404256,0.0,-12.560143008542067
2,G,AS,CAS,0.006382978723404256,0.0,-7.964469487123036
3,G,AS,AU,0.006382978723404256,0.0,-7.964469487123036
4,G,CS,AS,0.006382978723404256,0.0,-13.423333910110571
5,G,CS,CS,0.006382978723404256,0.0,-7.740757663139238
6,G,CS,CAS,0.006382978723404256,0.0,-3.145084141720208
7,G,CS,AU,0.006382978723404256,0.0,-3.145084141720208
8,G,CAS,AS,0.006382978723404256,0.0,-12.278249768390376
9,G,CAS,CS,0.006382978723404256,0.0,-6.5956735214190445
10,G,CAS,CAS,0.006382978723404256,0.0,-2.0000000000000107
11,G,CAS,AU,0.006382978723404256,0.0,-2.0000000000000107
12,G,AU,AS,0.006382978723404256,0.0,-12.278249768390376
13,G,AU,CS,0.006382978723404256,0.0,-6.5956735214190445
14,G,AU,CAS,0.006382978723404256,0.0,-2.0000000000000107
15,G,AU,AU,0.006382978723404256,0.0,-2.0000000000000107
16,F,AS,AS,0.006382978723404256,0.0,-16.233100070748836
17,F,AS,CS,0.006382978723404256,0.0,-10.532892456041036
18,F,AS,CAS,0.006382978723404256,0.0,-6.948960644210224
19,F,AS,AU,0.006382978723404256,0.0,-8.357093539222273
20,F,CS,AS,0.006382978723404256,0.0,-11.410771725669372
21,F,CS,CS,0.006382978723404256,0.0,-5.7105641109615775
22,F,CS,CAS,0.006382978723404256,0.0,-2.6788889493678525
23,F,CS,AU,0.006382978723404256,0.0,-3.2867651941428093
24,F,CAS,AS,0.006382978723404256,0.0,-8.075873636514533
25,F,CAS,CS,0.006382978723404256,0.0,-2.9279226720438203
26,F,CAS,CAS,0.006382978723404256,0.01994535573934351,-7.105427357601002e-15
27,F,CAS,AU,0.006382978723404256,0.011812525349182586,-7.105427357601002e-15
28,F,AU,AS,0.006382978723404256,0.0,-9.484006531526578
29,F,AU,CS,0.006382978723404256,0.0,-3.5357989168187807
30,F,AU,CAS,0.006382978723404256,0.013723564100243817,-7.105427357601002e-15
31,F,AU,AU,0.7,0.8913382118846755,-7.105427357601002e-15
32,N,AS,AS,0.006382978723404256,0.0,-16.223480885984273
33,N,AS,CS,0.006382978723404256,0.0,-10.505641903540013
34,N,AS,CAS,0.006382978723404256,0.0,-9.141717591321509
35,N,AS,AU,0.006382978723404256,0.0,-9.141717591321509
36,N,CS,AS,0.006382978723404256,0.0,-11.398209541228173
37,N,CS,CS,0.006382978723404256,0.0,-5.680370558783913
38,N,CS,CAS,0.006382978723404256,0.0,-4.316446246565409
39,N,CS,AU,0.006382978723404256,0.0,-4.316446246565409
40,N,CAS,AS,0.006382978723404256,0.0,-7.081763294662775
41,N,CAS,CS,0.006382978723404256,0.0,-1.363924312218515
42,N,CAS,CAS,0.006382978723404256,0.02414081362505133,-7.105427357601002e-15
43,N,CAS,AU,0.006382978723404256,0.012601563788720403,-7.105427357601002e-15
44,N,AU,AS,0.006382978723404256,0.0,-7.081763294662775
45,N,AU,CS,0.006382978723404256,0.0,-1.363924312218515
46,N,AU,CAS,0.006382978723404256,0.017370514457495705,-7.105427357601002e-15
47,N,AU,AU,0.006382978723404256,0.009067451055287239,-7.105427357601002e-15
