setting,unsafe,club,falsebeard,mark_lift,integrity,social
0.0,0.06691969370832217,0.5470037250924449,0.21982296577965715,0.0980217383804981,1.0,43.70570073569603
0.01,0.06578486661280823,0.5272301324503053,0.14977652937688324,0.09053880538300763,0.9972338794922968,43.988373202913365
0.02,0.06457081965472389,0.5093456783876953,0.11022139390074892,0.08393373727250941,0.9957911476178049,44.28263980045794
0.03,0.06460336876122155,0.5007292522775861,0.0904842547461763,0.08174196215084839,0.994732779014642,44.29351388403437
0.04,0.06539798394099007,0.49715674022987943,0.0800190960430799,0.0819374256995754,0.993749749030633,44.13259720822972
0.05,0.06660422080368111,0.49559408074406247,0.07403379582823312,0.08326627774286399,0.9927545513524751,43.88042749708235
0.06,0.0679436234596002,0.4948168842500923,0.07043854874693949,0.08489874253218277,0.9917215752501255,43.59844499179204
0.07,0.06921011237321414,0.4943367269024877,0.0681811483780712,0.08627353324373721,0.9906507445786991,43.331246733547424
0.08,0.07036103340384815,0.49398992002335146,0.06667663733175934,0.08728478716175858,0.9895537749961658,43.08820763097573
0.09,0.07143517373536303,0.4936932498135084,0.06564786084813011,0.08803396780945127,0.9884342596826085,42.86130258561238
0.1,0.07246095931198883,0.49331833372857825,0.06498399065260281,0.08857624789961083,0.9872831246157493,42.64479432325619
0.11,0.07344466215334906,0.49274280695968387,0.06462824225598185,0.08890376593655447,0.9860874321174763,42.43761868974466
0.12,0.07439001004493641,0.49189270656690964,0.06452964114119793,0.08900673095738221,0.9848375716047542,42.239143810830996
0.13,0.07530680103325171,0.490743071355362,0.06463639552030713,0.08889820473519183,0.9835288155821801,42.047346539108574
0.14,0.07620547955685042,0.489315426012104,0.06489990161266762,0.08860287870260275,0.9821607958894318,41.85996840139746
0.15,0.07708798116048163,0.4876926085209883,0.06527395673554909,0.08814110758239369,0.9807386781238493,41.67642465479943
0.16,0.07794793038563153,0.4859919937616283,0.06571691354669199,0.08752558107406827,0.9792721226843948,41.49781869762406
0.17,0.07878148665514562,0.48428990619484547,0.06620021456657611,0.08676829233181127,0.9777692339190732,41.32480295521198
0.18,0.07959182342240856,0.4825980867227844,0.06670952519828535,0.0858825854828793,0.9762331806274933,41.15667926300891
