setting,unsafe,club,falsebeard,mark_lift,integrity,social
0.0,0.06698638835675827,0.46103551401334375,0.04294155393458706,1.9984014443252818e-15,0.957058446065413,44.81294014875115
0.2,0.06864687922672753,0.46009043860077015,0.046213825478687416,0.003554618986977176,0.9537221010169659,44.36601208610624
0.4,0.07055444721346114,0.4580869367314149,0.04951058902034279,0.006613922436991215,0.950263837075138,43.868042427026566
0.6,0.07263867550294854,0.45502370293183375,0.05274757005194954,0.009152446156515004,0.9467438997349854,43.33448649320417
0.8,0.0748612654593985,0.45112092921284375,0.05590774947653268,0.01121753830518546,0.9431811829311364,42.77383412518124
1.0,0.07721425898281441,0.4465932511235592,0.059017391254273396,0.012887128383334168,0.9395568728327773,42.1880005802201
1.2,0.07969324281456153,0.4415629623982197,0.06210596241859397,0.014214536860283511,0.9358421928291673,41.578107356312444
1.4,0.08226583411369243,0.436030224266352,0.06517576402633521,0.015192155645335048,0.9320205439051387,40.95128174006855
1.6,0.0848658583611972,0.4299099752329619,0.06819790561860917,0.01576079266884911,0.9280922141904546,40.32194685406768
1.8,0.08742679496130432,0.42315512855577103,0.07113882538596825,0.015871450725012393,0.9240643524085023,39.70460189187366
2.0,0.0899182888714175,0.4158369744349806,0.07398810679721839,0.015534651964468682,0.9199386286506469,39.10589374529424
2.2,0.09234703369030771,0.4080954693212963,0.0767589232615008,0.014806074703917704,0.9157070470075884,38.52442132640715
2.4,0.0947397246809672,0.40002451701594777,0.07947397166300994,0.013739967686903665,0.9113469563274811,37.95454923529605
2.6,0.09712852615781775,0.3916267131256356,0.08215446544643483,0.012361353372231543,0.9068200143567833,37.38964601859659
2.8,0.09953291383829707,0.38291439029715313,0.08481198326009957,0.010682397855450554,0.9020975926669088,36.82573926128726
3.0,0.10195532915547971,0.37395757243854755,0.08744836266065502,0.00872034148233225,0.8971733938146519,36.2622839602659
3.2,0.10438966204724731,0.36484064569888874,0.090060632643894,0.006494510221662142,0.8920520980406241,35.70044611108062
