sigma,sml_unsafe,sml_club,sml_integrity,rep_unsafe,rep_club,rep_integrity
0.0,0.06691969370832217,0.5470037250924449,1.0,6.100588845423804e-24,0.4599999999999999,1.0
0.1,0.07246095931198883,0.49331833372857825,0.9872831246157493,3.820871570903327e-24,0.42000000000000004,0.98
0.2,0.08116216231387587,0.47917250734541017,0.9730623949914528,3.1845611910629222e-24,0.38000000000000006,1.0
0.3,0.08773421533967948,0.4591036984116856,0.9556160923774767,5.114754412352514e-24,0.3600000000000001,1.0
0.4,0.09022619902537805,0.4354240968272144,0.937593425250101,3.2218176729373582e-24,0.44,1.0
0.5,0.0899182888714175,0.4158369744349806,0.9199386286506469,3.556307882276412e-24,0.4200000000000001,1.0
0.6,0.08621635622734694,0.3963162188000944,0.9039480123463058,3.1746538449673585e-25,0.42,1.0
0.7,0.08106346731314834,0.37811791868793554,0.8881126977610213,4.6154293118161466e-24,0.37999999999999995,1.0
0.8,0.07630373785045881,0.35821511805459516,0.8650937780957364,5.004182877973371e-24,0.4,1.0
0.9,0.07746374349556588,0.26160212179224124,0.6833881959654915,2.6249047331209506e-24,0.18,0.82
1.0,0.053399494726438824,0.015367656798777066,0.04571344389745459,3.1966789140510305e-24,0.0,0.64
