liability,r,unsafe
0.0,0.0,0.9999664453682182
0.0,0.1,0.15851140814774478
0.1,0.0,0.9996575769716269
0.1,0.1,0.1304125221872114
0.2,0.0,0.9965352333751781
0.2,0.1,0.11172796377811865
0.3,0.0,0.9668864282063651
0.3,0.1,0.0978186950610545
0.4,0.0,0.7708504625320493
0.4,0.1,0.08684176889172482
0.5,0.0,0.3849954916669702
0.5,0.1,0.07782948536800925
0.6,0.0,0.21236280342459948
0.6,0.1,0.07021485120867763
0.7,0.0,0.1590356486420432
0.7,0.1,0.0636470236213903
0.8,0.0,0.1330034966119461
0.8,0.1,0.05789511762811991
0.9,0.0,0.11581153648183434
0.9,0.1,0.05278419386164945
1.0,0.0,0.10311234517540203
1.0,0.1,0.04814674165289542
1.1,0.0,0.09323379027917342
1.1,0.1,0.0438030892428001
1.2,0.0,0.08528918535619871
1.2,0.1,0.039612748364359546
1.3,0.0,0.07872430646800979
1.3,0.1,0.03559746748886647
1.4,0.0,0.07313185805362016
1.4,0.1,0.03197602508939962
1.5,0.0,0.06811857374176719
1.5,0.1,0.028974768169042053
1.6,0.0,0.06318024368184325
1.6,0.1,0.02663814215022146
1.7,0.0,0.05768718261424434
1.7,0.1,0.02485485095571765
1.8,0.0,0.0512600761960975
1.8,0.1,0.023474314536062527
1.9,0.0,0.0444035661098128
1.9,0.1,0.022372481267917032
2.0,0.0,0.038265531394615845
2.0,0.1,0.02146356769697428
2.1,0.0,0.03354101781412081
2.1,0.1,0.02069177842320575
2.2,0.0,0.030161483290179935
2.2,0.1,0.020021097804420268
2.3,0.0,0.027753495922136412
2.3,0.1,0.019427835757266126
2.4,0.0,0.02597804959753342
2.4,0.1,0.01889591770948767
2.5,0.0,0.024607278944383238
2.5,0.1,0.01841404301631237
2.6,0.0,0.023501847086772956
2.6,0.1,0.0179739811560332
2.7,0.0,0.02257791378905241
2.7,0.1,0.01756953706157186
2.8,0.0,0.021784074635033963
2.8,0.1,0.0171959088385622
2.9,0.0,0.021087710585319983
2.9,0.1,0.016849278421763224
3.0,0.0,0.020467271933213498
3.0,0.1,0.01652654327792239
3.1,0.0,0.019907925016710182
3.1,0.1,0.01622513553809108
3.2,0.0,0.019399052917561253
3.2,0.1,0.015942896693265273
3.3,0.0,0.01893278236253337
3.3,0.1,0.015677988504886064
3.4,0.0,0.018503088960463945
3.4,0.1,0.01542882811292786
3.5,0.0,0.01810523644856521
3.5,0.1,0.015194039704318235
3.6,0.0,0.017735414170514982
3.6,0.1,0.014972417776653736
3.7,0.0,0.017390495557687333
3.7,0.1,0.014762898697373284
3.8,0.0,0.017067872564164643
3.8,0.1,0.014564538318134142
3.9,0.0,0.016765339090935798
3.9,0.1,0.014376494091594541
4.0,0.0,0.016481006841987323
4.0,0.1,0.014198010583122525
4.1,0.0,0.016213243189567135
4.1,0.1,0.014028407431218684
4.2,0.0,0.015960624328584326
4.2,0.1,0.01386706699352378
4.3,0.0,0.01572189928704443
4.3,0.1,0.013713390947689842
4.4,0.0,0.015495961803684417
4.4,0.1,0.013566305099443272
