liability,r,unsafe
4.5,0.0,0.01528182801568679
4.5,0.1,0.013417478409639194
4.6,0.0,0.0150786185127924
4.6,0.1,0.013158382270605498
4.7,0.0,0.014885543725923642
4.7,0.1,0.011501898914899738
4.8,0.0,0.014701891899986707
4.8,0.1,0.00429919625446364
4.9,0.0,0.014527019096447465
4.9,0.1,0.00043662539678321246
5.0,0.0,0.014360340809861557
5.0,0.1,3.175694739125457e-05
5.1,0.0,0.014201324882133305
5.1,0.1,2.2419662124773943e-06
5.2,0.0,0.014049485470889578
5.2,0.1,1.5790715262399422e-07
5.3,0.0,0.01390437788204685
5.3,0.1,1.111804158471941e-08
5.4,0.0,0.0137655941168007
5.4,0.1,7.826669502384967e-10
5.5,0.0,0.01363275901304138
5.5,0.1,5.508819286949503e-11
5.6,0.0,0.013505526876369627
5.6,0.1,3.876903010957222e-12
5.7,0.0,0.013383578420069292
5.7,0.1,2.72866672372549e-13
5.8,0.0,0.013266616773301435
5.8,0.1,1.9267330030446737e-14
5.9,0.0,0.013154349034072137
5.9,0.1,1.3579570087724204e-15
6.0,0.0,0.013046299075170546
6.0,0.1,9.937249772711704e-17
6.1,0.0,0.012939684947187486
6.1,0.1,1.3794120343370975e-16
6.2,0.0,0.012805205878582786
6.2,0.1,1.4202583048957013e-16
6.3,0.0,0.01232220049061044
6.3,0.1,1.4025484979214797e-16
6.4,0.0,0.009045493466842544
6.4,0.1,1.3880334281488376e-16
6.5,0.0,0.0022385296390373425
6.5,0.1,1.3743237066505095e-16
6.6,0.0,0.00022962526921331078
6.6,0.1,1.3612135998556112e-16
6.7,0.0,2.005717351376829e-05
6.7,0.1,1.3486544064103182e-16
6.8,0.0,1.7249167836796313e-06
6.8,0.1,1.3366112289745406e-16
6.9,0.0,1.4813232214116857e-07
6.9,0.1,1.3250526117246629e-16
7.0,0.0,1.2719008897837602e-08
7.0,0.1,1.313949576615274e-16
7.1,0.0,1.0920114386531569e-09
7.1,0.1,1.3032753481048168e-16
7.2,0.0,9.375140215199774e-11
7.2,0.1,1.2930051489527226e-16
7.3,0.0,8.048323960571789e-12
7.3,0.1,1.2831160207601923e-16
7.4,0.0,6.908845671935776e-13
7.4,0.1,1.2735866635758865e-16
7.5,0.0,5.936198490500875e-14
7.5,0.1,1.264397292084166e-16
7.6,0.0,5.18530967764238e-15
7.6,0.1,1.255529506399756e-16
7.7,0.0,4.63142289060451e-16
7.7,0.1,1.2469661757674813e-16
7.8,0.0,1.3132335070865808e-16
7.8,0.1,1.2386913336891233e-16
7.9,0.0,1.5836022205426194e-16
7.9,0.1,1.2306900831897594e-16
8.0,0.0,1.598101062139364e-16
8.0,0.1,1.222948511099099e-16
