kappa_g,rho,liability,numeric,closed_form
0.5,0.0,0.0,0.9090749257806081,0.909074925780608
0.5,0.0,0.3,0.9524537333667378,0.9524537333667377
0.5,5.0,0.0,0.9206046846342011,0.920604684634201
0.5,5.0,0.3,0.958295189597246,0.9582951895972458
0.5,20.0,0.0,0.9424844657408864,0.9424844657408864
0.5,20.0,0.3,0.9695268376372581,0.969526837637258
2.0,0.0,0.0,0.8655090347687577,0.8655090347687578
2.0,0.0,0.3,0.9104337157182052,0.9104337157182052
2.0,5.0,0.0,0.8825631687402258,0.8825631687402257
2.0,5.0,0.3,0.9214376823050441,0.9214376823050441
2.0,20.0,0.0,0.9149264404268254,0.9149264404268254
2.0,20.0,0.3,0.9425955365917786,0.9425955365917785
4.0,0.0,0.0,0.8074211800862909,0.8074211800862908
4.0,0.0,0.3,0.8544070255201619,0.8544070255201618
4.0,5.0,0.0,0.8318411475482588,0.8318411475482588
4.0,5.0,0.3,0.8722943392487752,0.8722943392487751
4.0,20.0,0.0,0.8781824066747441,0.8781824066747441
4.0,20.0,0.3,0.9066871351978061,0.9066871351978061
