probe,epsilon,l1_distance_from_target,unsafe,badged_mass,field_inf,external_growth_max
0,0.05,0.07420007894300759,1.0000000000000004,0.9095068708676642,3.030379228689907e-15,3.552713678800501e-15
1,0.05,0.07078586084060993,1.0000000000000002,0.918976751119401,3.0681250510792963e-15,3.552713678800501e-15
2,0.05,0.07063120415799992,1.0000000000000004,0.9031997312786623,0.0,0.0
3,0.05,0.07345858956971418,1.0000000000000004,0.9246538858037804,0.0,0.0
4,0.05,0.07227092213830712,1.0000000000000002,0.9062591230324245,3.0182726105107282e-15,3.552713678800501e-15
5,0.05,0.0723502726961396,1.0,0.9001758156020332,0.0,0.0
6,0.05,0.06800539011417493,1.0000000000000002,0.9175260029054257,3.052738252241384e-15,3.552713678800501e-15
7,0.05,0.07425883427878764,1.0000000000000004,0.9148004007066542,0.0,0.0
8,0.05,0.07309997200645643,1.0,0.9151198088494589,3.0543303945962464e-15,3.552713678800501e-15
9,0.05,0.0717148722175674,1.0000000000000002,0.9057739059064402,1.2456452169569694e-20,0.0
10,0.05,0.07133622806474627,1.0000000000000004,0.9145576582272064,0.0,0.0
11,0.05,0.0682714705835226,1.0000000000000004,0.920918797221392,3.089576767980952e-15,3.552713678800501e-15
12,0.05,0.07147880449696178,0.9999999999999999,0.9044789011177998,2.9800367090272596e-15,3.552713678800501e-15
13,0.05,0.07316208460566648,1.0000000000000009,0.914966267452195,3.047253346424703e-15,-3.552713678800501e-15
14,0.05,0.07401671159336573,1.0000000000000004,0.9110252912910467,3.0196927100610333e-15,-3.552713678800501e-15
15,0.05,0.0750860994090683,1.0000000000000009,0.9244020423423766,3.0939610616023423e-15,-3.552713678800501e-15
16,0.05,0.06962800356184715,1.0000000000000004,0.9098143553378855,0.0,0.0
17,0.05,0.07438108940260621,1.0,0.9136913230577058,6.074888302455572e-15,7.105427357601002e-15
18,0.05,0.07340999193371255,1.0,0.9087438779081266,3.0054700710327683e-15,3.552713678800501e-15
19,0.05,0.07095281918200855,1.0000000000000004,0.9101010589185656,3.0271789704717268e-15,-3.552713678800501e-15
20,0.05,0.0729264186636795,1.0000000000000004,0.9172241257521203,0.0,0.0
21,0.05,0.07163273604667672,1.0000000000000004,0.9034072076079466,0.0,0.0
22,0.05,0.07416193584740044,1.0000000000000004,0.9045899526368649,0.0,0.0
23,0.05,0.07039180050144585,1.0000000000000004,0.9085570610963114,3.0250390333302892e-15,-3.552713678800501e-15
24,0.05,0.07224012190494941,1.0000000000000009,0.9228121104944174,6.1206447825496615e-15,-7.105427357601002e-15
25,0.05,0.07344196510385684,1.0000000000000004,0.9133788254811656,0.0,0.0
26,0.05,0.07048881401507281,1.0000000000000004,0.9149663824633962,3.0645558560122444e-15,-3.552713678800501e-15
27,0.05,0.07153309885690663,1.0000000000000002,0.9027885239017429,0.0,0.0
28,0.05,0.06990983275201976,1.0000000000000004,0.8978192944063329,0.0,0.0
29,0.05,0.07524714691879165,1.0000000000000004,0.9095631794199094,0.0,0.0
30,0.05,0.07495390927418931,1.0000000000000002,0.9178704383107044,0.0,0.0
31,0.05,0.06943393672583435,1.0000000000000004,0.9169736719315714,0.0,0.0
