r,n_starts,badged_share,mixed_count,unsafe_certified,unsafe_uncertified,social_certified,social_uncertified
0.0,400,0.97,399,1.0000000000000002,1.0000000000000002,-152.8,-152.80000000000004
0.01,400,0.5725,169,0.9890829690275692,0.9883040935672518,-150.50297474992195,-150.32280701754385
0.02,400,0.695,18,0.8566326087497717,0.8923559763767532,-122.5906945760923,-129.9192956494258
0.03,400,0.4925,5,0.7609010813856811,0.770303167931539,-103.20670996670216,-103.83044956396745
0.04,400,0.4075,0,0.6227502657571491,0.6185730187521067,-74.24997109889524,-71.5568461018446
0.05,400,0.41,0,0.45641059996839134,0.45920169703147873,-39.12205527853947,-37.771145184198176
0.06,400,0.4075,0,0.28973974669051544,0.28954394979716147,-3.9530935080981595,-1.9241649957198796
0.07,400,0.4025,0,0.1142415765084743,0.11424157650847426,32.998911030283644,34.99891103028365
0.08,400,0.4075,0,1.5900753119344847e-19,1.7576788528933335e-16,57.00000000000002,58.99999999999998
0.09,400,0.41,0,1.1294281226096398e-20,4.274175672414605e-25,57.00000000000002,59.000000000000014
0.1,400,0.425,0,3.9417813915843156e-24,4.438707622805294e-24,57.00000000000002,59.000000000000014
0.11,400,0.4225,0,4.458473124596701e-24,5.6557773301355105e-24,57.00000000000002,59.000000000000014
0.12,400,0.4125,0,2.2326535949148236e-23,1.198629379172224e-24,57.00000000000002,59.000000000000014
0.13,400,0.405,0,1.6471628886220188e-24,6.057708883994059e-25,57.00000000000002,59.000000000000014
0.14,400,0.395,0,2.4783789924182608e-23,2.8432685161881075e-24,57.00000000000002,59.000000000000014
0.15,400,0.3875,0,2.6428108287917426e-24,1.9926440225288902e-23,57.00000000000002,59.00000000000001
0.16,400,0.39,0,8.691984474829228e-25,8.670845073270614e-24,57.00000000000002,59.000000000000014
0.17,400,0.3825,0,1.426293826836951e-24,4.767323545968585e-24,57.00000000000002,59.000000000000014
0.18,400,0.3775,0,0.0,5.904526986058904e-31,57.00000000000002,59.00000000000002
0.19,400,0.3675,0,0.0,6.67872363699153e-25,57.00000000000002,59.00000000000002
0.2,400,0.355,0,0.0,1.4035605965119015e-24,57.00000000000002,59.000000000000014
0.21,400,0.345,0,1.0402525864258479e-24,2.4248780423826077e-24,57.00000000000002,59.00000000000002
0.22,400,0.3575,0,2.7211740811009885e-24,1.5100473841569327e-26,57.00000000000003,59.000000000000014
0.23,400,0.355,0,1.303042946351862e-30,1.0569687816565547e-30,57.00000000000002,59.000000000000014
0.24,400,0.3525,0,6.294399491888923e-31,7.024841728796777e-24,57.00000000000002,59.000000000000014
0.25,400,0.3525,0,0.0,2.640029237862378e-27,57.00000000000002,59.000000000000014
