block,mass,contribution,conditional
badged with badged,0.4990652467233306,0.06609978024620904,0.1324471713472229
badged with unbadged,0.0,0.0,0.0
unbadged with badged,0.0,0.0,0.0
unbadged with unbadged,0.5009347532766694,0.023818508625208477,0.047548125717788575
