,AS,CS,CAS,AU
AS,59.00000000000002,59.00000000000002,8.600000000000003,5.400000000000002
CS,59.00000000000002,59.00000000000002,26.644444444444453,16.60000000000001
CAS,101.7653158004818,61.63060534655404,27.20000000000001,27.20000000000001
AU,48.640000000000015,47.36000000000002,27.20000000000001,27.20000000000001
