setting,unsafe,club,falsebeard,mark_lift,integrity,social
0.0,0.0583976752463292,0.02428531991859471,0.552697969258028,-0.019030385465859556,0.051801561967337484,46.60169265527901
1.0,0.058413632095905985,0.02533106708280781,0.5510852808686136,-0.018554065075996662,0.05378979241753288,46.59604851050384
2.0,0.05843940318022357,0.026453126950559312,0.5492870111316618,-0.018091160821503527,0.055930788901299815,46.588156802886914
3.0,0.05847557399194242,0.027658444649633296,0.5472841807941105,-0.017642912105704456,0.05823996376529205,46.577878111996654
4.0,0.05852275157489634,0.028954628412916177,0.5450565814322322,-0.017210595328723488,0.060734432004637795,46.56506703017796
5.0,0.058581558728332525,0.030349998436401605,0.5425828227923488,-0.016795517029620344,0.06343318236525901,46.549573294934994
6.0,0.05865262598896938,0.03185363282605634,0.5398404122472517,-0.016399003938184054,0.06635725415891547,46.53124340080787
7.0,0.05873658107386829,0.0334754081675869,0.5368058718350808,-0.016022388919532227,0.06952991576339985,46.509922763610746
8.0,0.05883403553444562,0.03522603179275429,0.5334548988678167,-0.01566699200255517,0.07297683956510614,46.48545849650364
9.0,0.05894556845267574,0.037117062347533675,0.5297625763918488,-0.01533409590865209,0.07672626664013264,46.45770284111798
10.0,0.05907170710404628,0.03916091480038633,0.5257036397149484,-0.01502491568916986,0.0808091527051718,46.42651727797007
11.0,0.059212904622400774,0.04137084558670578,0.5212528046465674,-0.0147405622180663,0.085259284771317,46.39177731772554
12.0,0.05936951483659311,0.04376091320963986,0.516385161922139,-0.014481999382901511,0.09011335551426458,46.35337794691927
13.0,0.059541764615308274,0.0463459093699327,0.5110766404025648,-0.014249994911612718,0.09541097970173136,46.31123966677754
14.0,0.05972972425935048,0.04914125565806697,0.5053045389862084,-0.014045064914567473,0.10119463422754466,46.2653150206229
15.0,0.059933276718333525,0.052162861101826566,0.499048123703931,-0.013867412459644402,0.10750950059937663,46.21559545416055
16.0,0.06015208667296301,0.05542693651626656,0.49228928218967316,-0.013716860866110459,0.11440318640872772,46.16211829526199
17.0,0.060385570797566346,0.05894976273564813,0.48501322270856156,-0.01359278291816679,0.12192530076445116,46.10497357920453
18.0,0.06063287077633801,0.06274741148096535,0.47720919936157,-0.013494027857194113,0.13012685838254054,46.04431038664663
19.0,0.06089283085998011,0.06683541985535568,0.46887123928279084,-0.013418848793066984,0.13905948857180458,45.980342311463446
20.0,0.061163981882636234,0.07122842223098036,0.45999884205919545,-0.013364834039426343,0.14877442937586358,45.91335164133584
21.0,0.06144453367682089,0.07593974649204402,0.4505976168245165,-0.013328846765698343,0.15932129426599653,45.843691823442214
22.0,0.06173237769461357,0.0809809850456969,0.44067981919339855,-0.013306978185531282,0.17074660957064858,45.77178780792143
23.0,0.06202510134340167,0.08636155443978553,0.4302647491169288,-0.013294520156561629,0.183092135589484,45.698133918483975
24.0,0.06232001506536727,0.09208826049950684,0.41937897248267864,-0.013285963415413327,0.19639300299498103,45.62328899517675
25.0,0.06261419254202075,0.09816488823872419,0.40805633428572297,-0.013275027566175157,0.21067571802703447,45.54786868745198
26.0,0.06290452362227414,0.10459183704634886,0.3963377395891533,-0.01325472823361995,0.2259561137772033,45.472534939909536
27.0,0.06318777871075017,0.11136582148349186,0.3842706900013284,-0.013217485370700777,0.24223734839019495,45.39798289711013
28.0,0.06346068248868722,0.11847965626294768,0.37190857732035376,-0.013155274519300653,0.25950807139435256,45.324925641803006
29.0,0.06371999405958204,0.12592214059640708,0.359309751225779,-0.013059819908422865,0.277740893211226,45.25407735435326
30.0,0.06396259000363319,0.13367805226192497,0.3465363930262505,-0.012922824799046495,0.2968912967042802,45.18613562096352
31.0,0.06418554646333904,0.14172825583411985,0.3336532409681489,-0.01273623074609287,0.3168971204422238,45.12176370785781
32.0,0.06438621631743947,0.1500499230611366,0.3207262230300862,-0.012492493855397635,0.3376787194234601,45.06157364612547
33.0,0.06456229774757546,0.1586168569841393,0.30782105933194875,-0.012184863147990832,0.35913987044520335,45.00611093273025
34.0,0.06471189104028281,0.16739990570081675,0.2950018976177653,-0.011807644283175156,0.3811694384948683,44.95584155049802
35.0,0.06483354124020863,0.1763674472108309,0.2823300416512407,-0.011356431522965726,0.4036437621810405,44.911141854508244
36.0,0.06492626519647882,0.18548592392367358,0.26986282429971503,-0.010828292153465036,0.42642965681323214,44.87229168097214
37.0,0.06498956252693258,0.19472040432466098,0.25765266557471905,-0.010221890586123217,0.449387880656653,44.839470827491006
38.0,0.06502341096907521,0.20403514993033584,0.2457463422669332,-0.009537543759244316,0.47237687010862783,44.81275885099915
39.0,0.06502824740959781,0.21339416777574288,0.23418448150242602,-0.008777204742808853,0.49525652836083023,44.79213794979907
40.0,0.06500493652663936,0.22276173187796772,0.2230012769112761,-0.007944376975235534,0.5178918521340634,44.777498552396096
41.0,0.06495472940857726,0.23210286096020138,0.21222441424982164,-0.007043966661204437,0.5401562017600895,44.76864713612184
42.0,0.06487921472508647,0.2413837437429971,0.20187518401219812,-0.006082084959941558,0.5619340577383343,44.765315744816775
43.0,0.0647802650392847,0.2505721069206119,0.19196875217907186,-0.005065814299422544,0.5831231562340147,44.76717266395501
44.0,0.06465998069925903,0.2596375242427985,0.1825145567968215,-0.004002954301728812,0.6036359500809663,44.773833736650154
45.0,0.064520633477402,0.2685516677375064,0.1735167972840761,-0.0029017624652082352,0.6234003941541004,44.78487385593169
