sigma,required_fine
0.0,-29.80000000000001
0.01,-29.753226208620678
0.02,-29.705497850070337
0.03,-29.656785401652982
0.04,-29.607058110560263
0.05,-29.55628392912875
0.06,-29.50442944596465
0.07,-29.45145981262498
0.08,-29.39733866551705
0.09,-29.34202804264851
0.1,-29.285488294827342
0.11,-29.227677990875357
0.12,-29.16855381637901
0.13,-29.108070465457455
0.14,-29.04618052497959
0.15,-28.98283435060813
0.16,-28.91797993398972
0.17,-28.851562760344372
0.18,-28.78352565563449
0.19,-28.713808622413264
0.2,-28.642348663361503
0.21,-28.56907959142236
0.22,-28.49393182533093
0.23,-28.416832169211144
0.24,-28.337703574772426
0.25,-28.256464884482003
0.26,-28.173030553913463
0.27,-28.08731035127455
0.28,-27.99920903189567
0.29,-27.908625985210346
0.3,-27.81545485147686
0.31,-27.719583105171395
0.32,-27.62089160162165
0.33,-27.51925408304057
0.34,-27.414536639654003
0.35,-27.30659712108631
0.36,-27.195284492563374
0.37,-27.080438129801617
0.38,-26.96188704566045
0.39,-26.839449040727768
0.4,-26.712929768963996
0.41,-26.582121708326877
0.42,-26.44680302490917
0.43,-26.306736317511888
0.44,-26.161667227707564
0.45,-26.011322898273992
0.46,-25.85541026034288
0.47,-25.69361412664079
0.48,-25.52559506471938
0.49,-25.350987019977524
0.5,-25.16939465344599
0.51,-24.980390353586643
0.52,-24.78351087456649
0.53,-24.57825354537526
0.54,-24.36407198448007
0.55,-24.14037124310065
0.56,-23.90650228620398
0.57,-23.661755703405152
0.58,-23.405354521425416
0.59,-23.136445964714962
0.6,-22.854091980168985
0.61,-22.557258304107826
0.62,-22.24480180299082
0.63,-21.915455761272895
0.64,-21.567812717237306
0.65,-21.200304356399684
0.66,-20.811177856689262
0.67,-20.398467932753967
0.68,-19.959963638572713
0.69,-19.493168744766876
0.7,-18.99525419137397
0.71,-18.463000703264314
0.72,-17.892729108861108
0.73,-17.280215174131737
0.74,-16.620584782884723
0.75,-15.90818396033795
0.76,-15.136416402578945
0.77,-14.297538622406114
0.78,-13.382399225853934
0.79,-12.380103696296784
0.8,-11.277578613783918
0.81,-10.058998259427595
0.82,-8.705020087920602
0.83,-7.191750366824515
0.84,-5.489321930591417
0.85,-3.5599030361939055
0.86,-1.3548528711681789
0.87,1.1894357807845832
0.88,4.15777254139614
0.89,7.665806894846161
0.9,11.875448118986187
0.91,17.02056517071289
0.92,23.451961485371264
0.93,31.720899604217703
0.94,42.74615042934621
0.95,58.18150158452634
0.96,81.33452831729635
0.97,119.9229062052466
0.98,197.09966198114674
0.99,428.6299293088479
