,AS,CS,CAS,AU
AS,0.0,0.0,0.0,0.0
CS,0.0,0.0,4.222222222222224,8.000000000000004
CAS,1.0000000000000004,4.7777777777777795,9.000000000000004,9.000000000000004
AU,9.000000000000004,9.000000000000004,9.000000000000004,9.000000000000004
