scope,unsafe,club,integrity,uncertified_unsafe
total,0.0899182888714175,0.4158369744349806,0.9199386286506469,0.15851140814774478
prize,0.9325637583445521,0.03398653748378959,0.12162913120094944,0.9999999999996234
