cell,unsafe,club,falsebeard,integrity
neither,0.053399494726438824,0.015367656798777066,0.4664862421818395,0.05053602922641157
screening_only,0.07746374349556588,0.26160212179224124,0.1386967928614334,0.6833881959654915
fines_only,0.06496628108390345,0.19828823821777647,0.21088725920146414,0.526315789473684
both,0.06334064653141236,0.43081977772436525,0.032463410968032604,0.9380838335794383
