pool,unsafe,club,falsebeard,integrity,social
full,0.0899182888714175,0.4158369744349806,0.07398810679721839,0.9199386286506469,39.10589374529424
honest,0.0680858376752186,0.4730950373851753,0.0,1.0,43.594713900432744
uncertified,0.15851140814774478,0.0,0.0,1.0,25.427283754307688
plain,0.15851140814774356,0.0,0.0,1.0,25.42728375430794
