time,unsafe,badged_mass,focal_forger_mass,share_00_G_AS_AS,share_01_G_AS_CS,share_02_G_AS_CAS,share_03_G_AS_AU,share_04_G_CS_AS,share_05_G_CS_CS,share_06_G_CS_CAS,share_07_G_CS_AU,share_08_G_CAS_AS,share_09_G_CAS_CS,share_10_G_CAS_CAS,share_11_G_CAS_AU,share_12_G_AU_AS,share_13_G_AU_CS,share_14_G_AU_CAS,share_15_G_AU_AU,share_16_F_AS_AS,share_17_F_AS_CS,share_18_F_AS_CAS,share_19_F_AS_AU,share_20_F_CS_AS,share_21_F_CS_CS,share_22_F_CS_CAS,share_23_F_CS_AU,share_24_F_CAS_AS,share_25_F_CAS_CS,share_26_F_CAS_CAS,share_27_F_CAS_AU,share_28_F_AU_AS,share_29_F_AU_CS,share_30_F_AU_CAS,share_31_F_AU_AU,share_32_N_AS_AS,share_33_N_AS_CS,share_34_N_AS_CAS,share_35_N_AS_AU,share_36_N_CS_AS,share_37_N_CS_CS,share_38_N_CS_CAS,share_39_N_CS_AU,share_40_N_CAS_AS,share_41_N_CAS_CS,share_42_N_CAS_CAS,share_43_N_CAS_AU,share_44_N_AU_AS,share_45_N_AU_CS,share_46_N_AU_CAS,share_47_N_AU_AU
0.0,0.8883092021500583,0.8978723404255324,0.7000000000000004,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.006382978723404261,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.006382978723404259,0.00638297872340426,0.006382978723404259,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.7000000000000004,0.00638297872340426,0.006382978723404259,0.00638297872340426,0.00638297872340426,0.006382978723404259,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.00638297872340426,0.006382978723404259,0.006382978723404261,0.00638297872340426,0.00638297872340426
10.0,0.9999999896746719,0.9368196478355036,0.8913382104661282,0.0,0.0,0.0,0.0,0.0,0.0,6.541305047503917e-16,4.395366341707596e-16,0.0,0.0,3.3968666874206366e-11,2.282484817607019e-11,0.0,0.0,2.2349508762702277e-11,1.501749085914696e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.356535133005031e-14,2.2709774164114474e-16,0.0,3.952412316870115e-15,0.019945351062487685,0.011812525330382443,0.0,4.205107493505075e-17,0.013723560882295989,0.8913382104661282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.876359137222547e-08,0.0241407943997934,0.012601559622689718,0.0,2.0696832654253512e-08,0.01737050062396793,0.009067448057621334
20.0,0.9999999999999867,0.9368196570761443,0.8913382118877976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.274873997895871e-20,6.232142836110276e-20,0.0,0.0,6.102355238478418e-20,4.100406051879783e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739068332,0.011812525349223967,0.0,0.0,0.013723564100054472,0.8913382118877976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74444506316486e-14,0.024140813623708558,0.012601563788455991,0.0,2.6943142061947324e-14,0.017370514456529512,0.009067451055096981
30.0,1.0000000000000004,0.9368196570744386,0.8913382118858192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739245392,0.011812525349197744,0.0,0.0,0.0137235641001763,0.8913382118858192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362456863,0.01260156378862539,0.0,0.0,0.01737051445714838,0.009067451055218875
40.0,1.0000000000000004,0.9368196570735392,0.8913382118847819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739335233,0.011812525349183998,0.0,0.0,0.013723564100238115,0.8913382118847819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625005923,0.012601563788711256,0.0,0.0,0.01737051445746303,0.009067451055280657
50.0,1.0000000000000004,0.9368196570734889,0.8913382118847238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934031,0.011812525349183228,0.0,0.0,0.01372356410024161,0.8913382118847238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362503008,0.012601563788716255,0.0,0.0,0.017370514457480415,0.009067451055284255
60.0,1.0000000000000004,0.9368196570734697,0.891338211884702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739342016,0.011812525349182939,0.0,0.0,0.013723564100242787,0.891338211884702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625039413,0.012601563788718137,0.0,0.0,0.017370514457487128,0.00906745105528561
70.0,1.0000000000000004,0.9368196570734613,0.8913382118846929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739342523,0.011812525349182819,0.0,0.0,0.013723564100243136,0.8913382118846929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625043455,0.012601563788718904,0.0,0.0,0.01737051445749004,0.00906745105528616
80.0,1.0000000000000007,0.9368196570734532,0.891338211884684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739343033,0.011812525349182701,0.0,0.0,0.013723564100243486,0.891338211884684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625047504,0.012601563788719673,0.0,0.0,0.01737051445749295,0.009067451055286713
90.0,1.0000000000000009,0.9368196570734454,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934351,0.011812525349182588,0.0,0.0,0.013723564100243816,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362505133,0.012601563788720403,0.0,0.0,0.017370514457495705,0.009067451055287237
100.0,1.0000000000000009,0.9368196570734454,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934351,0.011812525349182588,0.0,0.0,0.013723564100243816,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362505133,0.012601563788720403,0.0,0.0,0.017370514457495705,0.009067451055287237
110.0,1.0000000000000009,0.9368196570734454,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934351,0.011812525349182588,0.0,0.0,0.013723564100243816,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362505133,0.012601563788720403,0.0,0.0,0.017370514457495705,0.009067451055287237
120.0,1.0000000000000009,0.9368196570734454,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934351,0.011812525349182588,0.0,0.0,0.013723564100243816,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362505133,0.012601563788720403,0.0,0.0,0.017370514457495705,0.009067451055287237
130.0,1.0000000000000007,0.9368196570734453,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934351,0.011812525349182586,0.0,0.0,0.013723564100243817,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362505133,0.012601563788720401,0.0,0.0,0.0173705144574957,0.009067451055287237
140.0,1.0000000000000004,0.9368196570734452,0.8913382118846753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739343508,0.011812525349182586,0.0,0.0,0.013723564100243816,0.8913382118846753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625051327,0.012601563788720401,0.0,0.0,0.0173705144574957,0.009067451055287236
150.0,1.0000000000000004,0.9368196570734452,0.8913382118846753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739343508,0.011812525349182586,0.0,0.0,0.013723564100243816,0.8913382118846753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362505133,0.0126015637887204,0.0,0.0,0.0173705144574957,0.009067451055287236
160.0,1.0000000000000009,0.9368196570734453,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934351,0.011812525349182588,0.0,0.0,0.013723564100243819,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625051334,0.012601563788720403,0.0,0.0,0.017370514457495705,0.009067451055287237
170.0,1.0000000000000007,0.9368196570734453,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934351,0.011812525349182586,0.0,0.0,0.013723564100243817,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625051334,0.012601563788720403,0.0,0.0,0.017370514457495705,0.009067451055287239
180.0,1.0000000000000007,0.9368196570734453,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01994535573934351,0.011812525349182586,0.0,0.0,0.013723564100243817,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625051334,0.012601563788720401,0.0,0.0,0.0173705144574957,0.009067451055287237
190.0,1.0000000000000007,0.9368196570734453,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739343508,0.011812525349182586,0.0,0.0,0.013723564100243817,0.8913382118846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414081362505133,0.012601563788720401,0.0,0.0,0.0173705144574957,0.009067451055287237
200.0,1.0000000000000009,0.9368196570734454,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739343515,0.01181252534918259,0.0,0.0,0.013723564100243819,0.8913382118846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625051338,0.012601563788720405,0.0,0.0,0.017370514457495705,0.009067451055287239
210.0,1.0000000000000004,0.9368196570734452,0.8913382118846753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019945355739343508,0.011812525349182586,0.0,0.0,0.013723564100243816,0.8913382118846753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140813625051327,0.0126015637887204,0.0,0.0,0.0173705144574957,0.009067451055287236
