block,mass,contribution,conditional
badged with badged,0.21824000000000005,1.5616987461837902e-25,7.155877685959447e-25
badged with unbadged,0.22176,0.19029086419190605,0.8580937238091001
unbadged with badged,0.22176000000000007,0.18898742183917142,0.8522160075720209
unbadged with unbadged,0.33824,1.838398803177167e-24,5.435190406744226e-24
