s_out,spoof_threshold,mimic_threshold,nucleation_threshold,entry_penalty,boundary_unsafe,certified_basin_share,club_share_monomorphic,unsafe_basin_mean,unsafe_monomorphic
AS,0.0,0.0,0.4087301587301587,-2.0,0.0,0.0,0.005232757581773599,2.5331040169871867e-24,0.19125492661642923
CS,0.0,0.0,0.0789835164835165,-2.0,0.0,0.0,0.019949167774595097,4.689385755782522e-24,0.17135892327201205
CAS,0.9616767052986199,0.9377052252624227,0.06289308176100626,30.35555555555557,0.4609540948481926,0.885,0.9999826104448228,8.654985014085077e-25,3.0280287721546045e-06
AU,0.9616767052986199,0.9539824263060044,0.06289308176100626,40.40000000000001,0.8679374720657755,0.395,0.9999736214196053,1.709925377230224e-24,4.781654593019334e-06
