rho,spoof_threshold,club_share_mixed,club_share_monomorphic,unsafe_mixed,unsafe_monomorphic,integrity
0.0,0.0,0.0,0.019949167774595097,4.689385755782522e-24,0.17135892327201205,0.15907908403182255
5.0,0.07387893068919671,0.0,0.03184870261967457,2.8881081166676887e-24,0.16037242048983646,0.3979562079748192
10.0,0.5369394653445985,0.0,0.02345352573636008,7.524879726565548e-24,0.18764516788925895,0.4967159204125573
20.0,0.7684697326722991,0.0,0.028145710763610436,1.5769847612371858e-23,0.18773597278292176,0.6503704956086909
40.0,0.8842348663361497,0.0,0.018279274060857383,6.370316145357439e-24,0.1423145509162673,0.8385023538705068
60.0,0.9228232442240998,0.0,0.015496980604681344,9.067744484640382e-24,0.11096097700478019,0.975565239392258
100.0,0.9536939465344598,0.0,0.01654867640881874,5.0936314819238616e-24,0.10438815596806567,1.0
