r,sml_full,sml_no-badge,sml_unforgeable,sml_random-badge,basin_full,basin_no-badge,basin_unforgeable,basin_random-badge
0.0,0.8114766723700517,0.9999664453682184,0.7462639134851496,0.9877369694084328,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
0.02,0.7141590006798543,0.9990823278121825,0.6508159189785321,0.9439336704411062,0.8556210070206166,0.970735341462075,0.8934914478762928,0.9560948265825866
0.04,0.5516162483504129,0.9762736987865053,0.4952003190960237,0.7978567222322741,0.6158792854164417,0.7330184545916719,0.6260463365537681,0.6259828112986731
0.06,0.27920101683294574,0.6670842841633526,0.22648989488158153,0.6186960296167603,0.28970352426524565,0.44229200059077184,0.2895439497971606,0.3282442549800416
0.08,0.12616027661654033,0.24966764382742637,0.09264098817954747,0.5453344021983767,1.682690473960198e-19,0.17500000000000007,4.448467645934599e-16,0.05501770828666923
0.1,0.0899182888714175,0.15851140814774356,0.06691969370832217,0.48799200718670876,3.358461140124938e-24,0.14000000000000007,9.557244974128465e-24,0.1735372666376157
0.12,0.0708593310649328,0.12312042788488321,0.05482701996884086,0.41750481494233455,1.067338222042029e-24,0.09500000000000003,4.628365667255039e-25,4.0183501979555444e-17
0.14,0.05764691002045984,0.09871519753750865,0.04656405008131084,0.34727829977321734,3.803875983817468e-24,0.060000000000000026,1.369298595906488e-23,2.1073048476542107e-20
0.16,0.04827834710920523,0.07841877347516929,0.04068117390401586,0.2855892187766318,1.3556654131138705e-24,0.030000000000000016,5.1295990846629984e-24,0.0
0.18,0.04140785457146098,0.06179679837447901,0.03608085815946131,0.23376675395937904,0.0,0.015000000000000008,3.497460594279629e-24,1.3594748872606272e-24
0.2,0.03608342722978382,0.0497023943565702,0.03230926749506244,0.191029229641973,0.0,0.005000000000000001,1.5716435875847825e-29,3.229270256339198e-24
0.22,0.03190151264407094,0.04160429789452995,0.02916138813700081,0.15644933984958537,1.9650378041560383e-24,1.0693435723529372e-35,4.8839035139477795e-30,3.8093117621010826e-24
0.24,0.0285612993635853,0.03620004171890717,0.026524532648507286,0.12926816766916344,6.3801963017687554e-24,1.5396412977948009e-35,2.119012096965282e-29,2.162270386205346e-24
