r,sigma_exploiter,sigma_mimic
0.0,0.8655090347687577,0.9381868131868132
0.005,0.8698583264007618,0.9381629016254023
0.01,0.8742515502714727,0.9381389725072085
0.015,0.8786893753997544,0.9381150258139928
0.02,0.8831724844579163,0.9380910615274922
0.025,0.8877015741218031,0.9380670796294204
0.03,0.8922773554317092,0.9380430801014672
0.035,0.8969005541645161,0.9380190629252991
0.04,0.9015719112174563,0.9379950280825589
0.045,0.906292183003935,0.9379709755548646
0.05,0.9110621418618505,0.9379469053238121
0.055,0.9158825764748761,0.9379228173709722
0.06,0.9207542923071894,0.9378987116778923
0.065,0.9256781120521476,0.9378745882260964
0.07,0.9306548760954385,0.9378504469970843
0.075,0.9356854429932517,0.9378262879723309
0.08,0.9407706899660411,0.9378021111332886
0.085,0.9459115134084786,0.9377779164613851
0.09,0.9511088294162173,0.9377537039380239
0.095,0.9563635743301193,0.9377294735445845
0.1,0.9616767052986199,0.9377052252624227
0.105,0.9670492008589473,0.9376809590728701
0.11,0.9724820615379302,0.937656674957233
0.115,0.9779763104731727,0.9376323728967948
0.12,0.9835329940554065,0.9376080528728141
0.125,0.9891531825928661,0.9375837148665256
0.13,0.9948379709985724,0.9375593588591384
0.135,,0.9375349848318393
0.14,,0.937510592765789
0.145,,0.9374861826421244
0.15,,0.9374617544419575
0.155,,0.9374373081463769
0.16,,0.9374128437364451
0.165,,0.937388361193201
0.17,,0.9373638604976591
0.175,,0.937339341630808
0.18,,0.9373148045736135
0.185,,0.9372902493070148
0.19,,0.9372656758119271
0.195,,0.9372410840692413
0.2,,0.9372164740598228
0.205,,0.9371918457645121
0.21,,0.9371671991641253
0.215,,0.937142534239453
0.22,,0.9371178509712617
0.225,,0.937093149340291
0.23,,0.9370684293272575
0.235,,0.9370436909128521
0.24,,0.93701893407774
0.245,,0.9369941588025614
0.25,,0.936969365067932
