kappa_g,rho,sigma_star_forger,sigma_star_mimic,r_star
0.5,0.0,0.909074925780608,0.9845467032967034,0.015723270440251565
0.5,5.0,0.920604684634201,0.9866151100535395,0.015723270440251565
0.5,20.0,0.9424844657408864,0.9904499151103565,0.015723270440251565
1.0,0.0,0.8945529621099912,0.9690934065934066,0.03144654088050313
1.0,5.0,0.9079241793362092,0.9732302201070792,0.03144654088050313
1.0,20.0,0.9332984573028661,0.980899830220713,0.03144654088050313
2.0,0.0,0.8655090347687578,0.9381868131868132,0.06289308176100626
2.0,5.0,0.8825631687402257,0.9464604402141583,0.06289308176100626
2.0,20.0,0.9149264404268254,0.9617996604414262,0.06289308176100626
4.0,0.0,0.8074211800862908,0.8763736263736264,0.12578616352201252
4.0,5.0,0.8318411475482588,0.8929208804283165,0.12578616352201252
4.0,20.0,0.8781824066747441,0.9235993208828523,0.12578616352201252
8.0,0.0,0.691245470721357,0.7527472527472528,0.25157232704402505
8.0,5.0,0.7303971051643248,0.785841760856633,0.25157232704402505
8.0,20.0,0.8046943391705814,0.8471986417657046,0.25157232704402505
