severity,lower_rung,upper_rung,weight,spoof_threshold,entry_penalty,boundary_unsafe,club_share
0.0,AS,CS,0.0,0.0,-2.0,0.0,0.005232757581773599
0.0417,AS,CS,0.1251,0.0,-2.0,0.0,0.005495047778567057
0.0833,AS,CS,0.2499,0.0,-2.0,0.0,0.005837792115472503
0.125,AS,CS,0.375,0.0,-2.0,0.0,0.006301896985327655
0.1667,AS,CS,0.5001,0.0,-2.0,0.0,0.006955212820275259
0.2083,AS,CS,0.6249,0.0,-2.0,0.0,0.007925797461441375
0.25,AS,CS,0.75,0.0,-2.0,0.0,0.009501705985897254
0.2917,AS,CS,0.8751,0.0,-2.0,0.0,0.012432261759719341
0.3333,AS,CS,0.9999,0.0,-2.0,0.0,0.019937708788994205
0.375,CS,CAS,0.125,0.6934136423889579,2.044444444444446,0.057619261856024076,0.06850440610253714
0.4167,CS,CAS,0.2501,0.8467681139488996,6.092124444444448,0.11528461912153297,0.1989748581820922
0.4583,CS,CAS,0.3749,0.8977772880731387,10.130097777777783,0.1728116901585874,0.5091822167710307
0.5,CS,CAS,0.5,0.9233534105972396,14.177777777777784,0.2304770474240963,0.8303705079105947
0.5417,CS,CAS,0.6250999999999998,0.9386925376717641,18.225457777777777,0.2881424046896051,0.9691179101670148
0.5833,CS,CAS,0.7499000000000002,0.9488954597927985,22.263431111111128,0.34566947572665974,0.9965024227094097
0.625,CS,CAS,0.875,0.9562019489127085,26.311111111111124,0.40333483299216855,0.9997183411889432
0.6667,CAS,AU,9.999999999976694e-05,0.9616767052986199,30.35656000000001,0.4609947931859143,0.9999826098395928
0.7083,CAS,AU,0.12490000000000023,0.9616767052986199,31.61010666666668,0.5117863186626688,0.9999818116569429
0.75,CAS,AU,0.25,0.9616767052986199,32.86666666666668,0.5626999391525884,0.9999809551302796
0.7917,CAS,AU,0.37509999999999977,0.9616767052986199,34.12322666666668,0.6136135596425079,0.9999800755834276
0.8333,CAS,AU,0.49990000000000023,0.9616767052986199,35.37677333333335,0.6644050851192624,0.9999791456583621
0.875,CAS,AU,0.625,0.9616767052986199,36.63333333333335,0.7153187056091819,0.9999780523112435
0.9167,CAS,AU,0.7500999999999998,0.9616767052986199,37.88989333333335,0.7662323260991015,0.9999766852495372
0.9583,CAS,AU,0.8749000000000002,0.9616767052986199,39.14344000000001,0.817023851575856,0.9999751733214254
1.0,CAS,AU,1.0,0.9616767052986199,40.40000000000001,0.8679374720657755,0.9999736214196053
